iter	Passed	Remaining
0	131	130911
1	131	65682
2	132	43899
3	132	33002
4	132	26466
5	133	22108
6	133	19006
7	134	16676
8	134	14861
9	135	13405
10	135	12214
11	136	11222
12	136	10382
13	137	9664
14	137	9039
15	138	8493
16	138	8011
17	138	7582
18	139	7198
19	139	6857
20	140	6545
21	140	6262
22	141	6002
23	141	5764
24	142	5545
25	142	5343
26	143	5155
27	143	4981
28	144	4822
29	144	4671
30	144	4529
31	145	4402
32	146	4279
33	146	4162
34	146	4051
35	147	3947
36	147	3848
37	148	3754
38	148	3665
39	149	3580
40	149	3499
41	150	3423
42	150	3350
43	151	3280
44	151	3214
45	151	3151
46	152	3090
47	152	3031
48	153	2975
49	153	2921
50	154	2869
51	154	2819
52	155	2771
53	155	2725
54	156	2680
55	156	2637
56	156	2595
57	157	2561
58	158	2525
59	158	2489
60	159	2453
61	159	2419
62	160	2386
63	160	2354
64	161	2322
65	162	2293
66	162	2262
67	162	2233
68	163	2209
69	164	2182
70	164	2154
71	165	2128
72	165	2102
73	166	2077
74	166	2053
75	166	2029
76	167	2006
77	167	1983
78	168	1962
79	168	1940
80	169	1919
81	170	1903
82	170	1881
83	170	1862
84	171	1842
85	171	1825
86	172	1808
87	172	1791
88	173	1774
89	173	1757
90	174	1742
91	174	1725
92	175	1709
93	175	1693
94	176	1680
95	176	1666
96	177	1651
97	177	1636
98	178	1622
99	178	1608
100	179	1594
101	179	1581
102	180	1568
103	180	1555
104	180	1542
105	181	1529
106	181	1517
107	182	1506
108	182	1494
109	183	1482
110	183	1471
111	184	1460
112	184	1448
113	185	1438
114	185	1427
115	185	1416
116	186	1406
117	186	1396
118	187	1386
119	187	1376
120	188	1367
121	188	1357
122	189	1348
123	189	1339
124	189	1329
125	190	1320
126	190	1311
127	191	1302
128	191	1294
129	192	1285
130	192	1277
131	193	1269
132	193	1261
133	193	1253
134	194	1245
135	194	1238
136	195	1230
137	195	1222
138	196	1215
139	196	1208
140	197	1200
141	197	1192
142	197	1185
143	198	1178
144	198	1171
145	199	1165
146	199	1158
147	200	1151
148	200	1146
149	201	1139
150	201	1133
151	202	1127
152	202	1121
153	202	1114
154	203	1108
155	203	1102
156	204	1096
157	204	1090
158	205	1085
159	205	1079
160	205	1072
161	206	1067
162	206	1061
163	207	1056
164	207	1051
165	208	1045
166	208	1040
167	209	1035
168	209	1030
169	209	1025
170	210	1020
171	210	1015
172	211	1010
173	211	1005
174	212	1000
175	212	995
176	213	991
177	213	986
178	214	982
179	214	977
180	215	973
181	215	968
182	215	964
183	216	959
184	216	955
185	217	950
186	217	946
187	218	942
188	218	937
189	219	934
190	219	930
191	220	926
192	220	922
193	221	918
194	221	915
195	222	911
196	222	907
197	223	903
198	223	899
199	223	895
200	224	892
201	224	888
202	225	884
203	225	881
204	226	877
205	226	874
206	227	870
207	227	867
208	228	863
209	228	859
210	229	856
211	229	852
212	229	849
213	230	846
214	230	842
215	231	839
216	231	836
217	232	833
218	232	829
219	233	826
220	233	823
221	234	820
222	234	816
223	234	813
224	235	810
225	235	807
226	236	804
227	236	801
228	237	799
229	237	796
230	238	793
231	238	790
232	239	787
233	239	784
234	240	781
235	240	779
236	241	776
237	241	773
238	241	770
239	242	767
240	242	764
241	243	761
242	243	759
243	244	756
244	244	754
245	245	751
246	245	748
247	245	745
248	246	743
249	246	740
250	247	738
251	247	735
252	248	732
253	248	730
254	249	727
255	249	725
256	250	722
257	250	720
258	251	718
259	251	715
260	251	713
261	252	710
262	252	708
263	253	706
264	253	703
265	254	701
266	254	698
267	255	696
268	255	694
269	255	692
270	256	689
271	256	687
272	257	685
273	257	683
274	258	680
275	258	678
276	259	676
277	259	674
278	260	672
279	260	669
280	260	667
281	261	665
282	261	663
283	262	661
284	262	659
285	263	657
286	263	655
287	264	653
288	264	651
289	265	649
290	265	647
291	266	645
292	266	643
293	267	641
294	267	639
295	268	637
296	268	635
297	268	633
298	269	631
299	269	629
300	270	627
301	270	625
302	271	624
303	271	622
304	272	620
305	272	618
306	273	616
307	273	614
308	274	612
309	274	611
310	275	609
311	275	607
312	275	605
313	276	603
314	276	602
315	277	600
316	277	598
317	278	596
318	278	594
319	279	593
320	279	591
321	279	589
322	280	587
323	280	586
324	281	584
325	281	582
326	282	581
327	282	579
328	283	577
329	283	575
330	284	574
331	284	572
332	285	571
333	285	569
334	286	567
335	286	566
336	287	564
337	287	563
338	288	561
339	288	559
340	288	558
341	289	556
342	289	555
343	290	553
344	290	551
345	291	550
346	291	548
347	292	547
348	292	545
349	292	544
350	293	542
351	293	541
352	294	539
353	294	537
354	295	536
355	295	534
356	296	533
357	296	531
358	297	530
359	297	528
360	297	527
361	298	525
362	298	524
363	299	523
364	299	521
365	300	520
366	300	518
367	301	517
368	301	515
369	302	514
370	302	512
371	302	511
372	303	510
373	303	508
374	304	507
375	304	505
376	305	504
377	305	503
378	306	501
379	306	500
380	307	498
381	307	497
382	308	496
383	308	494
384	308	493
385	309	492
386	309	490
387	310	489
388	310	488
389	311	486
390	311	485
391	312	484
392	312	482
393	313	481
394	313	480
395	314	479
396	314	477
397	315	476
398	315	475
399	316	474
400	316	472
401	316	471
402	317	470
403	317	468
404	318	467
405	318	466
406	319	465
407	319	463
408	320	462
409	320	461
410	321	460
411	321	458
412	321	457
413	322	456
414	322	455
415	323	453
416	323	452
417	324	451
418	324	450
419	325	449
420	325	447
421	326	446
422	326	445
423	326	444
424	327	442
425	327	441
426	328	440
427	328	439
428	329	438
429	329	437
430	330	436
431	330	434
432	331	433
433	331	432
434	332	431
435	332	430
436	332	428
437	333	427
438	333	426
439	334	425
440	334	424
441	335	423
442	335	421
443	336	420
444	336	419
445	337	418
446	337	417
447	337	416
448	338	415
449	338	414
450	339	413
451	339	411
452	340	410
453	340	409
454	341	408
455	341	407
456	341	406
457	342	405
458	342	404
459	343	403
460	343	402
461	344	400
462	344	399
463	345	398
464	345	397
465	346	396
466	346	395
467	347	394
468	347	393
469	347	392
470	348	391
471	348	390
472	349	389
473	349	388
474	350	387
475	350	385
476	351	384
477	351	383
478	351	382
479	352	381
480	352	380
481	353	379
482	353	378
483	354	377
484	354	376
485	355	375
486	355	374
487	356	373
488	356	372
489	356	371
490	357	370
491	357	369
492	358	368
493	358	367
494	359	366
495	359	365
496	360	364
497	360	363
498	361	362
499	361	361
500	362	360
501	362	359
502	362	358
503	363	357
504	363	356
505	364	355
506	364	354
507	365	353
508	365	352
509	366	351
510	366	350
511	366	349
512	367	348
513	367	347
514	368	346
515	368	346
516	369	345
517	369	344
518	370	343
519	370	342
520	371	341
521	371	340
522	372	339
523	372	338
524	372	337
525	373	336
526	373	335
527	374	334
528	374	333
529	375	332
530	375	331
531	376	330
532	376	329
533	377	329
534	377	328
535	377	327
536	378	326
537	378	325
538	379	324
539	379	323
540	380	322
541	380	321
542	381	320
543	381	319
544	382	319
545	382	318
546	383	317
547	383	316
548	383	315
549	384	314
550	384	313
551	385	312
552	385	311
553	386	311
554	386	310
555	387	309
556	387	308
557	388	307
558	388	306
559	389	305
560	389	304
561	390	304
562	390	303
563	391	302
564	391	301
565	392	300
566	392	299
567	393	298
568	393	298
569	394	297
570	394	296
571	394	295
572	395	294
573	395	293
574	396	292
575	396	292
576	397	291
577	397	290
578	398	289
579	398	288
580	399	287
581	399	286
582	400	286
583	400	285
584	401	284
585	401	283
586	402	283
587	402	282
588	403	281
589	403	280
590	404	279
591	404	278
592	405	278
593	405	277
594	406	276
595	406	275
596	407	274
597	407	274
598	408	273
599	408	272
600	409	271
601	409	270
602	410	269
603	410	269
604	411	268
605	411	267
606	411	266
607	412	265
608	412	265
609	413	264
610	413	263
611	414	262
612	414	261
613	415	260
614	415	260
615	415	259
616	416	258
617	416	257
618	417	256
619	417	256
620	418	255
621	418	254
622	419	253
623	419	252
624	420	252
625	420	251
626	421	250
627	421	249
628	421	248
629	422	248
630	422	247
631	423	246
632	423	245
633	424	244
634	424	244
635	425	243
636	425	242
637	426	241
638	426	240
639	426	240
640	427	239
641	427	238
642	428	237
643	428	237
644	429	236
645	429	235
646	430	234
647	430	233
648	431	233
649	431	232
650	432	231
651	432	230
652	432	230
653	433	229
654	433	228
655	434	227
656	434	226
657	435	226
658	435	225
659	436	224
660	436	223
661	437	223
662	437	222
663	438	221
664	438	220
665	438	220
666	439	219
667	439	218
668	440	217
669	440	217
670	441	216
671	441	215
672	442	214
673	442	214
674	443	213
675	443	212
676	443	211
677	444	211
678	444	210
679	445	209
680	445	208
681	446	208
682	446	207
683	447	206
684	447	205
685	448	205
686	448	204
687	448	203
688	449	202
689	449	202
690	450	201
691	450	200
692	451	199
693	451	199
694	452	198
695	452	197
696	453	196
697	453	196
698	453	195
699	454	194
700	455	194
701	455	193
702	455	192
703	456	191
704	456	191
705	457	190
706	457	189
707	458	188
708	458	188
709	459	187
710	459	186
711	460	186
712	460	185
713	460	184
714	461	183
715	461	183
716	462	182
717	462	181
718	463	181
719	463	180
720	464	179
721	464	178
722	465	178
723	465	177
724	465	176
725	466	176
726	466	175
727	467	174
728	467	173
729	468	173
730	468	172
731	469	171
732	469	171
733	470	170
734	470	169
735	471	168
736	471	168
737	471	167
738	472	166
739	472	166
740	473	165
741	473	164
742	474	164
743	474	163
744	475	162
745	475	161
746	475	161
747	476	160
748	476	159
749	477	159
750	477	158
751	478	157
752	478	157
753	479	156
754	479	155
755	480	154
756	480	154
757	481	153
758	481	152
759	482	152
760	482	151
761	482	150
762	483	150
763	483	149
764	484	148
765	484	148
766	485	147
767	485	146
768	486	146
769	486	145
770	486	144
771	487	143
772	487	143
773	488	142
774	488	141
775	489	141
776	489	140
777	490	139
778	490	139
779	491	138
780	491	137
781	492	137
782	492	136
783	493	135
784	493	135
785	493	134
786	494	133
787	494	133
788	495	132
789	495	131
790	496	131
791	496	130
792	497	129
793	497	129
794	498	128
795	498	127
796	499	127
797	499	126
798	500	125
799	500	125
800	501	124
801	501	123
802	502	123
803	502	122
804	502	121
805	503	121
806	503	120
807	504	119
808	504	119
809	505	118
810	505	117
811	506	117
812	506	116
813	507	115
814	507	115
815	508	114
816	508	113
817	508	113
818	509	112
819	509	111
820	510	111
821	510	110
822	511	109
823	511	109
824	512	108
825	512	108
826	513	107
827	513	106
828	514	106
829	514	105
830	515	104
831	515	104
832	516	103
833	516	102
834	517	102
835	517	101
836	517	100
837	518	100
838	518	99
839	519	98
840	519	98
841	520	97
842	520	96
843	521	96
844	521	95
845	522	95
846	522	94
847	522	93
848	523	93
849	523	92
850	524	91
851	524	91
852	525	90
853	525	89
854	526	89
855	526	88
856	527	87
857	527	87
858	528	86
859	528	86
860	529	85
861	529	84
862	530	84
863	530	83
864	531	82
865	531	82
866	531	81
867	532	80
868	532	80
869	533	79
870	533	79
871	534	78
872	534	77
873	535	77
874	535	76
875	536	75
876	536	75
877	537	74
878	537	73
879	537	73
880	538	72
881	538	72
882	539	71
883	539	70
884	540	70
885	540	69
886	541	68
887	541	68
888	542	67
889	542	67
890	543	66
891	543	65
892	544	65
893	544	64
894	544	63
895	545	63
896	545	62
897	546	62
898	546	61
899	547	60
900	547	60
901	548	59
902	548	58
903	549	58
904	549	57
905	550	57
906	550	56
907	551	55
908	551	55
909	551	54
910	552	53
911	552	53
912	553	52
913	553	52
914	554	51
915	554	50
916	555	50
917	555	49
918	556	49
919	556	48
920	556	47
921	557	47
922	557	46
923	558	45
924	558	45
925	559	44
926	559	44
927	560	43
928	560	42
929	561	42
930	561	41
931	562	41
932	562	40
933	562	39
934	563	39
935	563	38
936	564	37
937	564	37
938	565	36
939	566	36
940	566	35
941	566	34
942	567	34
943	567	33
944	568	33
945	568	32
946	569	31
947	569	31
948	570	30
949	570	30
950	570	29
951	571	28
952	572	28
953	572	27
954	572	26
955	573	26
956	573	25
957	574	25
958	574	24
959	575	23
960	575	23
961	576	22
962	576	22
963	576	21
964	577	20
965	578	20
966	578	19
967	578	19
968	579	18
969	579	17
970	580	17
971	580	16
972	581	16
973	581	15
974	582	14
975	582	14
976	583	13
977	583	13
978	584	12
979	584	11
980	584	11
981	585	10
982	585	10
983	586	9
984	586	8
985	587	8
986	587	7
987	588	7
988	588	6
989	589	5
990	589	5
991	590	4
992	590	4
993	591	3
994	591	2
995	592	2
996	592	1
997	593	1
998	593	0
999	594	0
